,City,lat,lon,temp_F,humidity,cloudiness,wind_mph,hemisphere
89,Mar del Plata,-38.0,-57.56,51.8,87,40,10.29,southern_hem
90,Riberalta,-10.98,-66.1,91.4,49,75,11.41,southern_hem
91,Nikolskoye,59.7,30.79,65.37,59,45,4.47,northern_hem
92,Sinait,17.87,120.46,78.8,94,75,2.24,northern_hem
93,Urusha,54.05,122.9,43.38,95,100,3.71,northern_hem
94,Castro,-24.79,-50.01,78.22,34,0,3.58,southern_hem
95,Mahébourg,-20.41,57.7,69.8,77,40,3.36,southern_hem
96,Saskylakh,71.92,114.08,43.36,76,0,9.19,northern_hem
97,Barrow,71.29,-156.79,30.2,68,90,19.46,northern_hem
98,Grindavik,63.84,-22.43,41.0,56,75,23.04,northern_hem
99,Wolbrom,50.38,19.76,68.56,68,20,4.7,northern_hem
100,Olafsvik,64.89,-23.71,38.71,72,2,13.98,northern_hem
101,Khor,47.89,134.95,52.07,86,100,4.81,northern_hem
102,Chifeng,42.27,118.96,56.44,70,26,3.31,northern_hem
103,East London,-33.02,27.91,71.6,56,41,4.7,southern_hem
104,Cabedelo,-6.98,-34.83,86.0,51,20,16.11,southern_hem
105,‘Āhuimanu,21.44,-157.84,78.62,74,90,9.17,northern_hem
106,Torbay,47.67,-52.73,62.62,72,90,28.86,northern_hem
107,Hermanus,-34.42,19.23,61.0,81,0,4.0,southern_hem
108,Voloshka,61.33,40.09,56.23,94,23,5.06,northern_hem
109,Yulara,-25.24,130.99,59.0,28,42,8.05,southern_hem
110,Praia,14.92,-23.51,81.73,73,21,11.52,northern_hem
111,Vila Franca do Campo,37.72,-25.43,69.8,60,20,14.99,northern_hem
112,Buala,-8.14,159.59,80.51,79,100,4.34,southern_hem
113,Jiménez,28.33,-105.4,69.8,35,20,9.33,northern_hem
114,Mount Gambier,-37.83,140.77,42.8,100,75,6.93,southern_hem
115,Saint-Philippe,-21.36,55.77,61.5,73,2,5.82,southern_hem
116,Atuona,-9.8,-139.03,77.9,72,11,17.6,southern_hem
117,Belgrade,44.8,20.47,80.6,39,44,4.7,northern_hem
118,Faanui,-16.48,-151.75,77.72,78,7,15.43,southern_hem
